1;27;0 no compensation;1;355.9319;165.6839;146.4322;;0.0000
2;27;0 no compensation;1;356.8491;165.6835;146.4290;;0.0000
3;27;0 no compensation;1;357.9447;165.6841;146.4317;;0.0000
4;27;0 no compensation;1;359.1752;165.5536;146.4320;;0.0000
8;32;1 no compensation;1;357.8313;91.0691;144.4199;;0.0000
9;32;1 no compensation;1;358.9810;90.5578;144.4187;;0.0000
10;32;1 no compensation;1;360.0448;91.2883;144.4115;;0.0000
11;32;1 no compensation;1;361.7966;90.0427;144.4103;;0.0000
15;37;2 no compensation;1;353.5166;91.5964;139.9988;;0.0000
16;37;2 no compensation;1;353.3710;106.0451;115.9509;;0.0000
17;37;2 no compensation;1;353.2166;133.0608;109.8149;;0.0000
18;37;2 no compensation;1;353.1061;162.8553;137.6764;;0.0000
22;42;3 no compensation;1;362.7539;162.5212;142.3883;;0.0000
23;42;3 no compensation;1;364.2054;161.9673;141.3317;;0.0000
24;42;3 no compensation;1;364.7717;161.5904;140.6087;;0.0000
25;42;3 no compensation;1;365.1722;161.1112;139.6966;;0.0000
29;47;4 no compensation;1;364.1195;157.9018;128.7257;;0.0000
30;47;4 no compensation;1;363.7329;157.9007;128.7271;;0.0000
31;47;4 no compensation;1;364.7749;157.5859;128.4619;;0.0000
32;47;4 no compensation;1;364.6730;156.6720;127.7035;;0.0000
36;52;5 no compensation;1;364.4491;150.3149;118.7428;;0.0000
37;52;5 no compensation;1;363.2844;149.2710;118.4222;;0.0000
38;52;5 no compensation;1;362.3547;149.3576;118.4502;;0.0000
39;52;5 no compensation;1;361.1421;150.5773;118.8303;;0.0000
43;57;6 no compensation;1;365.4650;133.4199;112.4497;;0.0000
44;57;6 no compensation;1;365.6300;134.8429;112.3156;;0.0000
45;57;6 no compensation;1;364.6381;136.7686;112.1337;;0.0000
46;57;6 no compensation;1;362.5777;138.2136;112.0010;;0.0000
50;62;7 no compensation;1;365.2975;123.1030;111.1041;;0.0000
51;62;7 no compensation;1;365.9912;122.6745;111.3325;;0.0000
52;62;7 no compensation;1;365.2212;121.2876;112.0727;;0.0000
53;62;7 no compensation;1;365.6691;119.9920;112.7666;;0.0000
57;67;8 no compensation;1;365.4058;107.3324;118.7584;;0.0000
58;67;8 no compensation;1;367.5022;107.6869;118.3383;;0.0000
59;67;8 no compensation;1;365.9512;108.4503;117.3997;;0.0000
60;67;8 no compensation;1;367.6033;109.1529;116.5467;;0.0000
64;72;9 no compensation;1;366.8637;98.3708;128.7603;;0.0000
65;72;9 no compensation;1;367.0195;98.6008;127.9974;;0.0000
66;72;9 no compensation;1;367.6003;98.8468;127.1874;;0.0000
67;72;9 no compensation;1;366.1394;99.0092;126.6401;;0.0000
71;77;10 no compensation;1;365.3257;93.9710;141.3597;;0.0000
72;77;10 no compensation;1;366.1142;93.9749;141.3586;;0.0000
73;77;10 no compensation;1;366.6392;93.8807;140.3726;;0.0000
74;77;10 no compensation;1;365.9574;93.8549;139.7798;;0.0000
