1;0;25;1;352.0748;172.5115;146.9659;0;0.04
2;0;25;1;352.6119;172.5115;146.9633;1;0.04
3;0;25;1;353.7977;172.5137;146.9622;2;0.04
4;0;25;1;354.9088;172.5131;146.9647;3;0.04
8;1;31;1;352.8729;81.3834;144.5572;4;0.04
9;1;31;1;353.6081;81.9991;144.5544;5;0.04
10;1;31;1;354.5104;81.3635;144.5537;6;0.04
11;1;31;1;355.5074;82.3836;144.5507;7;0.04
15;2;36;1;348.2258;81.7684;141.0249;8;0.04
16;2;36;1;348.1879;93.5606;116.0041;9;0.04
17;2;36;1;348.1482;131.7568;102.1814;10;0.04
18;2;36;1;348.1472;156.6796;115.0405;11;0.04
19;2;36;1;348.1677;170.1936;138.812;12;0.04
24;3;41;1;355.3124;170.1894;144.3049;13;0.1
25;3;41;1;356.3083;169.6742;143.2005;14;0.1
26;3;41;1;357.566;169.6849;143.2216;15;0.1
27;3;41;1;358.7531;169.5229;142.8683;16;0.1
31;4;46;1;360.34;165.5182;128.8034;17;0.1
32;4;46;1;360.3089;165.7324;129.0323;18;0.1
33;4;46;1;359.1268;166.1793;129.5282;19;0.1
34;4;46;1;357.8879;166.0864;129.4153;20;0.1
38;5;51;1;359.9422;159.523;118.2994;21;0.1
39;5;51;1;359.1585;160.118;118.6287;22;0.1
40;5;51;1;358.539;160.1381;118.6422;23;0.1
41;5;51;1;357.5276;160.2559;118.7072;24;0.1
45;6;56;1;357.1293;149.2841;109.4311;25;0.1
46;6;56;1;357.7365;149.607;109.4926;26;0.1
47;6;56;1;356.808;149.2352;109.4198;27;0.1
48;6;56;1;356.3371;150.0513;109.5766;28;0.1
52;7;61;1;357.8205;137.0251;104.127;29;0.1
53;7;61;1;356.3015;137.5798;104.0553;30;0.1
54;7;61;1;357.215;137.5799;104.0558;31;0.1
55;7;61;1;358.2978;136.911;104.1416;32;0.1
59;8;66;1;360.7402;120.7386;104.2133;33;0.1
60;8;66;1;360.7395;121.5952;103.8082;34;0.1
62;8;71;1;359.7398;122.5001;103.3776;35;0.1
63;8;71;1;358.6472;123.6909;102.8152;36;0.1
65;9;76;1;360.8756;107.0477;108.9619;37;0.1
66;9;76;1;360.7399;107.4333;108.598;38;0.1
67;9;76;1;360.4005;108.1664;107.905;39;0.1
68;9;76;1;360.0338;108.595;107.4953;40;0.1
72;10;81;1;360.4618;96.1979;117.2885;41;0.1
73;10;81;1;360.4875;96.5415;116.6567;42;0.1
74;10;81;1;360.5165;96.8965;116.0042;43;0.1
75;10;81;1;360.1454;97.3635;115.1365;44;0.1
79;11;86;1;359.2989;88.5562;128.9467;45;0.1
80;11;86;1;360.2921;88.8292;127.4505;46;0.1
81;11;86;1;359.9999;88.8758;127.194;47;0.1
82;11;86;1;361.2577;89.2954;124.9048;48;0.1
86;12;91;1;357.7806;85.1687;142.569;49;0.1
87;12;91;1;359.2994;85.1516;142.4568;50;0.1
88;12;91;1;361.5102;85.1082;142.1239;51;0.1
89;12;91;1;362.4828;84.9551;140.8983;52;0.1
