379;0;310;1;60.4567;157.6293;147.5409;0;0.04
380;0;310;1;58.8224;157.2293;147.5439;1;0.04
381;0;310;1;57.7421;157.2293;147.5552;2;0.04
382;0;310;1;56.5626;157.2269;147.5633;3;0.04
386;1;315;1;60.0874;98.283;144.1818;4;0.04
387;1;315;1;57.8099;98.9312;144.1956;5;0.04
388;1;315;1;56.0735;98.0944;144.2066;6;0.04
389;1;315;1;54.7765;99.1152;144.2211;7;0.04
393;2;320;1;63.0065;100.1125;141.1756;8;0.04
394;2;320;1;62.8916;119.8201;119.971;9;0.04
395;2;320;1;62.8981;134.092;119.8553;10;0.04
396;2;320;1;63.0455;156.2299;143.2437;11;0.04
400;3;325;1;55.6057;154.1386;143.4222;12;0.1
401;3;325;1;54.534;154.2272;143.6048;13;0.1
402;3;325;1;53.451;154.2897;143.7272;14;0.1
403;3;325;1;51.3683;153.929;143.0186;15;0.1
407;4;330;1;52.2899;148.3904;130.4709;16;0.1
408;4;330;1;51.321;148.4883;130.5401;17;0.1
409;4;330;1;50.5495;146.2012;129.0592;18;0.1
410;4;330;1;50.8417;146.5768;129.3001;19;0.1
414;5;335;1;51.0892;137.7838;122.3228;20;0.1
415;5;335;1;50.6809;136.1964;122.2333;21;0.1
416;5;335;1;50.6895;134.7827;122.1595;22;0.1
417;5;335;1;49.961;134.3784;122.1426;23;0.1
421;6;340;1;51.0941;122.1773;121.3855;24;0.1
422;6;340;1;50.9488;120.7486;122.1087;25;0.1
423;6;340;1;49.587;120.1352;122.4285;26;0.1
424;6;340;1;52.205;118.2655;123.3157;27;1000.0
428;7;345;1;50.9019;108.6768;129.4204;28;0.1
429;7;345;1;50.8613;108.8987;129.0767;29;0.1
430;7;345;1;50.7541;109.2715;128.4927;30;0.1
431;7;345;1;50.8576;109.9706;127.4219;31;0.1
435;8;350;1;50.4208;102.3739;138.5955;32;0.1
436;8;350;1;50.7198;102.3541;139.0504;33;0.1
437;8;350;1;50.7499;102.2956;140.1004;34;0.1
438;8;350;1;51.1748;102.3067;139.8961;35;0.1
